price,artist,cardFinish,colorIdentity,colors,edhrecRank,edhrecSaltiness,gameAvailability,isReprint,layout,manaCost,manaValue,name,number,originalType,power,priceProvider,providerListing,rarity,setCode,supertypes,toughness,type,types,uuid
0.03,335,2,30,30,25730.0,0.14,0,0,4,144,5.0,922,280,578,7,0,0,2,118,0,7,252,2,06bc148c-fc3e-552b-8dbe-65591dfa2e0e
0.52,335,1,30,30,25730.0,0.14,0,0,4,144,5.0,922,280,578,7,0,0,2,118,0,7,252,2,06bc148c-fc3e-552b-8dbe-65591dfa2e0e
1.27,335,2,30,30,25730.0,0.14,1,0,4,144,5.0,922,280,578,7,3,0,2,118,0,7,252,2,06bc148c-fc3e-552b-8dbe-65591dfa2e0e
0.52,335,2,30,30,25730.0,0.14,1,0,4,144,5.0,922,280,578,7,1,1,2,118,0,7,252,2,06bc148c-fc3e-552b-8dbe-65591dfa2e0e
1.29,335,2,30,30,25730.0,0.14,1,0,4,144,5.0,922,280,578,7,1,0,2,118,0,7,252,2,06bc148c-fc3e-552b-8dbe-65591dfa2e0e
1.25,335,2,30,30,25730.0,0.14,1,0,4,144,5.0,922,280,578,7,2,0,2,118,0,7,252,2,06bc148c-fc3e-552b-8dbe-65591dfa2e0e
0.6,326,2,0,0,17024.0,0.36,0,0,4,190,7.0,1036,51,578,9,0,0,2,118,0,8,411,2,8c0617b5-0945-52f5-925f-01b53022653c
0.68,326,1,0,0,17024.0,0.36,0,0,4,190,7.0,1036,51,578,9,0,0,2,118,0,8,411,2,8c0617b5-0945-52f5-925f-01b53022653c
2.25,326,2,0,0,17024.0,0.36,1,0,4,190,7.0,1036,51,578,9,3,0,2,118,0,8,411,2,8c0617b5-0945-52f5-925f-01b53022653c
0.38,326,2,0,0,17024.0,0.36,1,0,4,190,7.0,1036,51,578,9,1,1,2,118,0,8,411,2,8c0617b5-0945-52f5-925f-01b53022653c
1.49,326,2,0,0,17024.0,0.36,1,0,4,190,7.0,1036,51,578,9,1,0,2,118,0,8,411,2,8c0617b5-0945-52f5-925f-01b53022653c
2.09,326,2,0,0,17024.0,0.36,1,0,4,190,7.0,1036,51,578,9,2,0,2,118,0,8,411,2,8c0617b5-0945-52f5-925f-01b53022653c
0.02,151,2,30,30,22552.0,0.07,0,0,4,138,4.0,1047,322,578,6,0,0,2,118,0,5,233,2,86e6bd5e-5b30-5747-9b7a-2f9ba8d4bd74
0.37,151,1,30,30,22552.0,0.07,0,0,4,138,4.0,1047,322,578,6,0,0,2,118,0,5,233,2,86e6bd5e-5b30-5747-9b7a-2f9ba8d4bd74
0.92,151,2,30,30,22552.0,0.07,1,0,4,138,4.0,1047,322,578,6,3,0,2,118,0,5,233,2,86e6bd5e-5b30-5747-9b7a-2f9ba8d4bd74
0.52,151,2,30,30,22552.0,0.07,1,0,4,138,4.0,1047,322,578,6,1,1,2,118,0,5,233,2,86e6bd5e-5b30-5747-9b7a-2f9ba8d4bd74
1.29,151,2,30,30,22552.0,0.07,1,0,4,138,4.0,1047,322,578,6,1,0,2,118,0,5,233,2,86e6bd5e-5b30-5747-9b7a-2f9ba8d4bd74
1.1,151,2,30,30,22552.0,0.07,1,0,4,138,4.0,1047,322,578,6,2,0,2,118,0,5,233,2,86e6bd5e-5b30-5747-9b7a-2f9ba8d4bd74
0.14,165,2,28,28,11815.0,0.67,0,0,4,134,5.0,1125,666,578,11,0,0,2,118,0,10,368,2,8b90c74f-d130-5724-8ee8-4e56a8d49743
0.61,165,1,28,28,11815.0,0.67,0,0,4,134,5.0,1125,666,578,11,0,0,2,118,0,10,368,2,8b90c74f-d130-5724-8ee8-4e56a8d49743
6.61,165,2,28,28,11815.0,0.67,1,0,4,134,5.0,1125,666,578,11,3,0,2,118,0,10,368,2,8b90c74f-d130-5724-8ee8-4e56a8d49743
2.3,165,2,28,28,11815.0,0.67,1,0,4,134,5.0,1125,666,578,11,1,1,2,118,0,10,368,2,8b90c74f-d130-5724-8ee8-4e56a8d49743
5.49,165,2,28,28,11815.0,0.67,1,0,4,134,5.0,1125,666,578,11,1,0,2,118,0,10,368,2,8b90c74f-d130-5724-8ee8-4e56a8d49743
5.58,165,2,28,28,11815.0,0.67,1,0,4,134,5.0,1125,666,578,11,2,0,2,118,0,10,368,2,8b90c74f-d130-5724-8ee8-4e56a8d49743
0.37,29,2,24,24,14320.0,0.43,0,0,4,123,5.0,1324,122,578,7,0,0,2,118,0,7,284,2,fc75fbc0-4ac1-5f5b-a679-10bddb753015
0.92,29,1,24,24,14320.0,0.43,0,0,4,123,5.0,1324,122,578,7,0,0,2,118,0,7,284,2,fc75fbc0-4ac1-5f5b-a679-10bddb753015
5.5,29,2,24,24,14320.0,0.43,1,0,4,123,5.0,1324,122,578,7,1,1,2,118,0,7,284,2,fc75fbc0-4ac1-5f5b-a679-10bddb753015
0.08,8,2,30,30,17531.0,0.4,0,0,4,178,5.0,1329,439,578,7,0,0,2,118,0,6,190,2,87c59eb0-3d69-55d3-80c7-a40db1ab72c2
0.63,8,1,30,30,17531.0,0.4,0,0,4,178,5.0,1329,439,578,7,0,0,2,118,0,6,190,2,87c59eb0-3d69-55d3-80c7-a40db1ab72c2
2.88,8,2,30,30,17531.0,0.4,1,0,4,178,5.0,1329,439,578,7,3,0,2,118,0,6,190,2,87c59eb0-3d69-55d3-80c7-a40db1ab72c2
1.05,8,2,30,30,17531.0,0.4,1,0,4,178,5.0,1329,439,578,7,1,1,2,118,0,6,190,2,87c59eb0-3d69-55d3-80c7-a40db1ab72c2
2.29,8,2,30,30,17531.0,0.4,1,0,4,178,5.0,1329,439,578,7,1,0,2,118,0,6,190,2,87c59eb0-3d69-55d3-80c7-a40db1ab72c2
2.6,8,2,30,30,17531.0,0.4,1,0,4,178,5.0,1329,439,578,7,2,0,2,118,0,6,190,2,87c59eb0-3d69-55d3-80c7-a40db1ab72c2
0.03,6,2,24,24,20051.0,0.08,0,0,4,167,6.0,702,17,578,0,0,0,2,186,0,0,258,2,3476c2fe-8c17-5e75-9064-17455588cd14
2.32,6,2,24,24,20051.0,0.08,1,0,4,167,6.0,702,17,578,0,3,0,2,186,0,0,258,2,3476c2fe-8c17-5e75-9064-17455588cd14
0.85,6,2,24,24,20051.0,0.08,1,0,4,167,6.0,702,17,578,0,1,1,2,186,0,0,258,2,3476c2fe-8c17-5e75-9064-17455588cd14
2.18,6,2,24,24,20051.0,0.08,1,0,4,167,6.0,702,17,578,0,2,0,2,186,0,0,258,2,3476c2fe-8c17-5e75-9064-17455588cd14
3.13,349,2,16,16,7867.0,0.78,0,0,4,245,2.0,258,143,578,6,0,0,2,166,0,5,141,2,88336bb5-51a0-5252-a01a-d6aadad90a15
0.03,96,2,24,24,14706.0,0.15,0,0,4,22,3.0,1095,123,578,6,0,0,2,166,0,5,246,2,51f802cc-757f-50d9-8768-0ac6f4c5db70
0.45,96,1,24,24,14706.0,0.15,0,0,4,22,3.0,1095,123,578,6,0,0,2,166,0,5,246,2,51f802cc-757f-50d9-8768-0ac6f4c5db70
0.77,96,2,24,24,14706.0,0.15,1,0,4,22,3.0,1095,123,578,6,3,0,2,166,0,5,246,2,51f802cc-757f-50d9-8768-0ac6f4c5db70
0.25,96,2,24,24,14706.0,0.15,1,0,4,22,3.0,1095,123,578,6,1,1,2,166,0,5,246,2,51f802cc-757f-50d9-8768-0ac6f4c5db70
0.99,96,2,24,24,14706.0,0.15,1,0,4,22,3.0,1095,123,578,6,1,0,2,166,0,5,246,2,51f802cc-757f-50d9-8768-0ac6f4c5db70
0.79,96,2,24,24,14706.0,0.15,1,0,4,22,3.0,1095,123,578,6,2,0,2,166,0,5,246,2,51f802cc-757f-50d9-8768-0ac6f4c5db70
0.02,290,2,15,15,17562.0,0.08,0,0,4,139,5.0,1014,192,578,7,0,0,2,166,0,6,332,2,1082a564-ed2c-5319-bcf7-58a19b9d8ad2
0.59,290,1,15,15,17562.0,0.08,0,0,4,139,5.0,1014,192,578,7,0,0,2,166,0,6,332,2,1082a564-ed2c-5319-bcf7-58a19b9d8ad2
3.87,290,2,15,15,17562.0,0.08,1,0,4,139,5.0,1014,192,578,7,3,0,2,166,0,6,332,2,1082a564-ed2c-5319-bcf7-58a19b9d8ad2
4.49,290,2,15,15,17562.0,0.08,1,0,4,139,5.0,1014,192,578,7,1,0,2,166,0,6,332,2,1082a564-ed2c-5319-bcf7-58a19b9d8ad2
3.68,290,2,15,15,17562.0,0.08,1,0,4,139,5.0,1014,192,578,7,2,0,2,166,0,6,332,2,1082a564-ed2c-5319-bcf7-58a19b9d8ad2
0.02,351,2,1,1,14016.0,0.2,0,0,4,50,4.0,1252,196,578,7,0,0,2,166,0,6,258,2,f3cd08af-7432-5777-8e25-426360213511
0.47,351,1,1,1,14016.0,0.2,0,0,4,50,4.0,1252,196,578,7,0,0,2,166,0,6,258,2,f3cd08af-7432-5777-8e25-426360213511
1.9,351,2,1,1,14016.0,0.2,1,0,4,50,4.0,1252,196,578,7,3,0,2,166,0,6,258,2,f3cd08af-7432-5777-8e25-426360213511
0.5,351,2,1,1,14016.0,0.2,1,0,4,50,4.0,1252,196,578,7,1,1,2,166,0,6,258,2,f3cd08af-7432-5777-8e25-426360213511
1.99,351,2,1,1,14016.0,0.2,1,0,4,50,4.0,1252,196,578,7,1,0,2,166,0,6,258,2,f3cd08af-7432-5777-8e25-426360213511
1.66,351,2,1,1,14016.0,0.2,1,0,4,50,4.0,1252,196,578,7,2,0,2,166,0,6,258,2,f3cd08af-7432-5777-8e25-426360213511
0.02,351,2,4,4,6410.0,1.06,0,0,4,286,5.0,1076,36,578,11,0,0,2,163,0,10,374,2,d1c0b29b-b820-5679-b7d8-e1caf25cdf75
1.29,351,1,4,4,6410.0,1.06,0,0,4,286,5.0,1076,36,578,11,0,0,2,163,0,10,374,2,d1c0b29b-b820-5679-b7d8-e1caf25cdf75
0.08,387,2,28,28,15105.0,0.07,0,0,4,74,3.0,290,258,578,2,0,0,2,71,0,2,261,2,8806c719-4992-54dd-9263-320a344a0da9
0.7,387,1,28,28,15105.0,0.07,0,0,4,74,3.0,290,258,578,2,0,0,2,71,0,2,261,2,8806c719-4992-54dd-9263-320a344a0da9
1.9,387,2,28,28,15105.0,0.07,1,0,4,74,3.0,290,258,578,2,1,1,2,71,0,2,261,2,8806c719-4992-54dd-9263-320a344a0da9
7.49,387,2,28,28,15105.0,0.07,1,0,4,74,3.0,290,258,578,2,1,0,2,71,0,2,261,2,8806c719-4992-54dd-9263-320a344a0da9
0.02,104,2,16,16,11894.0,0.07,0,0,4,13,3.0,740,20,578,6,0,0,2,71,0,6,62,2,8166de85-98db-50be-88a8-81f2a9370f0b
0.5,104,1,16,16,11894.0,0.07,0,0,4,13,3.0,740,20,578,6,0,0,2,71,0,6,62,2,8166de85-98db-50be-88a8-81f2a9370f0b
3.14,104,2,16,16,11894.0,0.07,1,0,4,13,3.0,740,20,578,6,3,0,2,71,0,6,62,2,8166de85-98db-50be-88a8-81f2a9370f0b
3.49,104,2,16,16,11894.0,0.07,1,0,4,13,3.0,740,20,578,6,1,0,2,71,0,6,62,2,8166de85-98db-50be-88a8-81f2a9370f0b
3.0,104,2,16,16,11894.0,0.07,1,0,4,13,3.0,740,20,578,6,2,0,2,71,0,6,62,2,8166de85-98db-50be-88a8-81f2a9370f0b
0.32,299,2,28,28,8928.0,0.12,0,0,4,32,3.0,114,557,578,2,0,0,2,175,0,2,261,2,08eb29cb-8772-5049-a2ac-a91cd1038c63
0.45,299,1,28,28,8928.0,0.12,0,0,4,32,3.0,114,557,578,2,0,0,2,175,0,2,261,2,08eb29cb-8772-5049-a2ac-a91cd1038c63
7.5,299,2,28,28,8928.0,0.12,1,0,4,32,3.0,114,557,578,2,1,1,2,175,0,2,261,2,08eb29cb-8772-5049-a2ac-a91cd1038c63
0.37,104,2,16,16,13722.0,0.53,0,0,4,157,6.0,757,11,578,0,0,0,2,173,0,0,110,2,bec05e4f-c529-5be4-8737-2529eef08b67
0.29,104,1,16,16,13722.0,0.53,0,0,4,157,6.0,757,11,578,0,0,0,2,173,0,0,110,2,bec05e4f-c529-5be4-8737-2529eef08b67
5.88,104,2,16,16,13722.0,0.53,1,0,4,157,6.0,757,11,578,0,3,0,2,173,0,0,110,2,bec05e4f-c529-5be4-8737-2529eef08b67
4.88,104,2,16,16,13722.0,0.53,1,0,4,157,6.0,757,11,578,0,2,0,2,173,0,0,110,2,bec05e4f-c529-5be4-8737-2529eef08b67
0.02,299,2,30,30,15378.0,0.24,0,0,4,144,5.0,904,117,578,7,0,0,2,173,0,6,14,2,56f91cd7-27ce-584d-8bba-e51c399ed11e
0.32,299,1,30,30,15378.0,0.24,0,0,4,144,5.0,904,117,578,7,0,0,2,173,0,6,14,2,56f91cd7-27ce-584d-8bba-e51c399ed11e
7.6,299,2,30,30,15378.0,0.24,1,0,4,144,5.0,904,117,578,7,3,0,2,173,0,6,14,2,56f91cd7-27ce-584d-8bba-e51c399ed11e
2.5,299,2,30,30,15378.0,0.24,1,0,4,144,5.0,904,117,578,7,1,1,2,173,0,6,14,2,56f91cd7-27ce-584d-8bba-e51c399ed11e
5.99,299,2,30,30,15378.0,0.24,1,0,4,144,5.0,904,117,578,7,1,0,2,173,0,6,14,2,56f91cd7-27ce-584d-8bba-e51c399ed11e
6.38,299,2,30,30,15378.0,0.24,1,0,4,144,5.0,904,117,578,7,2,0,2,173,0,6,14,2,56f91cd7-27ce-584d-8bba-e51c399ed11e
0.08,290,2,28,28,16156.0,0.19,0,0,4,74,3.0,932,366,24,2,0,0,2,172,0,2,261,2,ebe7fab8-a1bd-5bc9-9136-46297176e4d9
0.6,290,1,28,28,16156.0,0.19,0,0,4,74,3.0,932,366,24,2,0,0,2,172,0,2,261,2,ebe7fab8-a1bd-5bc9-9136-46297176e4d9
1.0,290,2,28,28,16156.0,0.19,1,0,4,74,3.0,932,366,24,2,3,0,2,172,0,2,261,2,ebe7fab8-a1bd-5bc9-9136-46297176e4d9
0.36,290,2,28,28,16156.0,0.19,1,0,4,74,3.0,932,366,24,2,1,1,2,172,0,2,261,2,ebe7fab8-a1bd-5bc9-9136-46297176e4d9
0.93,290,2,28,28,16156.0,0.19,1,0,4,74,3.0,932,366,24,2,2,0,2,172,0,2,261,2,ebe7fab8-a1bd-5bc9-9136-46297176e4d9
4.01,113,2,24,24,3661.0,0.15,0,0,4,63,3.0,1090,132,12,2,0,0,2,123,0,2,172,2,9c1b266a-0485-570b-be1e-9b961ed5f225
7.25,113,2,24,24,3661.0,0.15,1,0,4,63,3.0,1090,132,12,2,1,1,2,123,0,2,172,2,9c1b266a-0485-570b-be1e-9b961ed5f225
0.07,154,2,30,30,15838.0,0.5,0,0,4,92,4.0,194,15,21,6,0,0,2,123,0,5,245,2,e35ff5d9-96da-5cc2-b16f-fcada63d68c4
0.45,154,1,30,30,15838.0,0.5,0,0,4,92,4.0,194,15,21,6,0,0,2,123,0,5,245,2,e35ff5d9-96da-5cc2-b16f-fcada63d68c4
0.57,154,2,30,30,15838.0,0.5,1,0,4,92,4.0,194,15,21,6,3,0,2,123,0,5,245,2,e35ff5d9-96da-5cc2-b16f-fcada63d68c4
0.24,154,2,30,30,15838.0,0.5,1,0,4,92,4.0,194,15,21,6,1,1,2,123,0,5,245,2,e35ff5d9-96da-5cc2-b16f-fcada63d68c4
0.79,154,2,30,30,15838.0,0.5,1,0,4,92,4.0,194,15,21,6,1,0,2,123,0,5,245,2,e35ff5d9-96da-5cc2-b16f-fcada63d68c4
0.51,154,2,30,30,15838.0,0.5,1,0,4,92,4.0,194,15,21,6,2,0,2,123,0,5,245,2,e35ff5d9-96da-5cc2-b16f-fcada63d68c4
0.32,278,2,0,0,10210.0,0.25,0,0,4,149,6.0,72,439,16,7,0,0,2,131,0,6,357,2,3df91f21-0530-5b79-88e8-b720cacc3b7e
1.18,278,1,0,0,10210.0,0.25,0,0,4,149,6.0,72,439,16,7,0,0,2,131,0,6,357,2,3df91f21-0530-5b79-88e8-b720cacc3b7e
1.23,278,2,0,0,10210.0,0.25,1,0,4,149,6.0,72,439,16,7,3,0,2,131,0,6,357,2,3df91f21-0530-5b79-88e8-b720cacc3b7e
1.0,278,2,0,0,10210.0,0.25,1,0,4,149,6.0,72,439,16,7,1,1,2,131,0,6,357,2,3df91f21-0530-5b79-88e8-b720cacc3b7e
1.96,278,2,0,0,10210.0,0.25,1,0,4,149,6.0,72,439,16,7,2,0,2,131,0,6,357,2,3df91f21-0530-5b79-88e8-b720cacc3b7e
2.15,441,2,30,30,14678.0,0.3,0,0,4,39,3.0,655,26,21,2,0,0,2,131,0,6,245,2,7479ec2e-9147-5558-b706-551df36aa13c
3.17,441,1,30,30,14678.0,0.3,0,0,4,39,3.0,655,26,21,2,0,0,2,131,0,6,245,2,7479ec2e-9147-5558-b706-551df36aa13c
2.65,441,2,30,30,14678.0,0.3,1,0,4,39,3.0,655,26,21,2,3,0,2,131,0,6,245,2,7479ec2e-9147-5558-b706-551df36aa13c
1.35,441,2,30,30,14678.0,0.3,1,0,4,39,3.0,655,26,21,2,1,1,2,131,0,6,245,2,7479ec2e-9147-5558-b706-551df36aa13c
2.99,441,2,30,30,14678.0,0.3,1,0,4,39,3.0,655,26,21,2,1,0,2,131,0,6,245,2,7479ec2e-9147-5558-b706-551df36aa13c
2.19,441,2,30,30,14678.0,0.3,1,0,4,39,3.0,655,26,21,2,2,0,2,131,0,6,245,2,7479ec2e-9147-5558-b706-551df36aa13c
0.08,247,2,0,0,17271.0,0.11,0,0,4,99,6.0,1264,616,16,10,0,0,2,131,0,7,354,2,698f5b94-4a21-5b1a-9b9f-9f96c60049d9
0.68,247,1,0,0,17271.0,0.11,0,0,4,99,6.0,1264,616,16,10,0,0,2,131,0,7,354,2,698f5b94-4a21-5b1a-9b9f-9f96c60049d9
1.09,247,2,0,0,17271.0,0.11,1,0,4,99,6.0,1264,616,16,10,3,0,2,131,0,7,354,2,698f5b94-4a21-5b1a-9b9f-9f96c60049d9
0.33,247,2,0,0,17271.0,0.11,1,0,4,99,6.0,1264,616,16,10,1,1,2,131,0,7,354,2,698f5b94-4a21-5b1a-9b9f-9f96c60049d9
1.29,247,2,0,0,17271.0,0.11,1,0,4,99,6.0,1264,616,16,10,1,0,2,131,0,7,354,2,698f5b94-4a21-5b1a-9b9f-9f96c60049d9
0.92,247,2,0,0,17271.0,0.11,1,0,4,99,6.0,1264,616,16,10,2,0,2,131,0,7,354,2,698f5b94-4a21-5b1a-9b9f-9f96c60049d9
0.19,61,2,0,0,19340.0,0.64,0,0,4,98,5.0,401,573,23,7,0,0,2,143,0,6,205,2,6c3be56e-71ca-53d2-abe9-d06e82422642
0.73,61,1,0,0,19340.0,0.64,0,0,4,98,5.0,401,573,23,7,0,0,2,143,0,6,205,2,6c3be56e-71ca-53d2-abe9-d06e82422642
0.69,61,2,0,0,19340.0,0.64,1,0,4,98,5.0,401,573,23,7,3,0,2,143,0,6,205,2,6c3be56e-71ca-53d2-abe9-d06e82422642
0.69,61,2,0,0,19340.0,0.64,1,0,4,98,5.0,401,573,23,7,1,0,2,143,0,6,205,2,6c3be56e-71ca-53d2-abe9-d06e82422642
0.69,61,2,0,0,19340.0,0.64,1,0,4,98,5.0,401,573,23,7,2,0,2,143,0,6,205,2,6c3be56e-71ca-53d2-abe9-d06e82422642
0.03,61,2,24,24,22609.0,0.57,0,0,4,123,5.0,640,666,23,7,0,0,2,143,0,6,254,2,9ea1e7a0-cafa-5c93-b0be-c9d26c9b8f54
0.35,61,1,24,24,22609.0,0.57,0,0,4,123,5.0,640,666,23,7,0,0,2,143,0,6,254,2,9ea1e7a0-cafa-5c93-b0be-c9d26c9b8f54
0.31,61,2,24,24,22609.0,0.57,1,0,4,123,5.0,640,666,23,7,3,0,2,143,0,6,254,2,9ea1e7a0-cafa-5c93-b0be-c9d26c9b8f54
0.49,61,2,24,24,22609.0,0.57,1,0,4,123,5.0,640,666,23,7,1,0,2,143,0,6,254,2,9ea1e7a0-cafa-5c93-b0be-c9d26c9b8f54
0.44,61,2,24,24,22609.0,0.57,1,0,4,123,5.0,640,666,23,7,2,0,2,143,0,6,254,2,9ea1e7a0-cafa-5c93-b0be-c9d26c9b8f54
0.32,61,2,30,30,16999.0,0.25,0,0,4,144,5.0,688,37,23,7,0,0,2,143,0,6,254,2,198d9a4f-8256-5ac1-ba05-49b4e115d85c
1.72,61,1,30,30,16999.0,0.25,0,0,4,144,5.0,688,37,23,7,0,0,2,143,0,6,254,2,198d9a4f-8256-5ac1-ba05-49b4e115d85c
0.99,61,2,30,30,16999.0,0.25,1,0,4,144,5.0,688,37,23,7,3,0,2,143,0,6,254,2,198d9a4f-8256-5ac1-ba05-49b4e115d85c
1.29,61,2,30,30,16999.0,0.25,1,0,4,144,5.0,688,37,23,7,1,0,2,143,0,6,254,2,198d9a4f-8256-5ac1-ba05-49b4e115d85c
0.92,61,2,30,30,16999.0,0.25,1,0,4,144,5.0,688,37,23,7,2,0,2,143,0,6,254,2,198d9a4f-8256-5ac1-ba05-49b4e115d85c
0.19,290,2,16,16,13527.0,0.36,0,0,4,108,5.0,518,21,23,7,0,0,2,143,0,6,254,2,cc06a866-a99b-5fed-a721-6bb24b8be7f1
0.54,290,1,16,16,13527.0,0.36,0,0,4,108,5.0,518,21,23,7,0,0,2,143,0,6,254,2,cc06a866-a99b-5fed-a721-6bb24b8be7f1
1.06,290,2,16,16,13527.0,0.36,1,0,4,108,5.0,518,21,23,7,3,0,2,143,0,6,254,2,cc06a866-a99b-5fed-a721-6bb24b8be7f1
1.49,290,2,16,16,13527.0,0.36,1,0,4,108,5.0,518,21,23,7,1,0,2,143,0,6,254,2,cc06a866-a99b-5fed-a721-6bb24b8be7f1
0.93,290,2,16,16,13527.0,0.36,1,0,4,108,5.0,518,21,23,7,2,0,2,143,0,6,254,2,cc06a866-a99b-5fed-a721-6bb24b8be7f1
0.07,278,2,28,28,19556.0,0.56,0,0,4,134,5.0,25,202,23,7,0,0,2,143,0,6,254,2,21be870a-edd1-52c3-ae9d-00073341244e
0.71,278,1,28,28,19556.0,0.56,0,0,4,134,5.0,25,202,23,7,0,0,2,143,0,6,254,2,21be870a-edd1-52c3-ae9d-00073341244e
0.34,278,2,28,28,19556.0,0.56,1,0,4,134,5.0,25,202,23,7,3,0,2,143,0,6,254,2,21be870a-edd1-52c3-ae9d-00073341244e
0.15,278,2,28,28,19556.0,0.56,1,0,4,134,5.0,25,202,23,7,1,1,2,143,0,6,254,2,21be870a-edd1-52c3-ae9d-00073341244e
0.99,278,2,28,28,19556.0,0.56,1,0,4,134,5.0,25,202,23,7,1,0,2,143,0,6,254,2,21be870a-edd1-52c3-ae9d-00073341244e
0.46,278,2,28,28,19556.0,0.56,1,0,4,134,5.0,25,202,23,7,2,0,2,143,0,6,254,2,21be870a-edd1-52c3-ae9d-00073341244e
0.12,275,2,29,29,12824.0,0.3,0,0,4,88,4.0,548,175,16,6,0,0,2,88,0,5,45,2,ac22c757-ce78-5cd1-896d-b0b0d84b1d6d
1.24,275,1,29,29,12824.0,0.3,0,0,4,88,4.0,548,175,16,6,0,0,2,88,0,5,45,2,ac22c757-ce78-5cd1-896d-b0b0d84b1d6d
0.86,275,2,29,29,12824.0,0.3,1,0,4,88,4.0,548,175,16,6,3,0,2,88,0,5,45,2,ac22c757-ce78-5cd1-896d-b0b0d84b1d6d
0.8,275,2,29,29,12824.0,0.3,1,0,4,88,4.0,548,175,16,6,1,1,2,88,0,5,45,2,ac22c757-ce78-5cd1-896d-b0b0d84b1d6d
1.21,275,2,29,29,12824.0,0.3,1,0,4,88,4.0,548,175,16,6,2,0,2,88,0,5,45,2,ac22c757-ce78-5cd1-896d-b0b0d84b1d6d
0.02,108,2,28,28,16166.0,0.31,0,0,4,79,4.0,137,406,16,7,0,0,2,88,0,6,261,2,f9959e9b-4401-5b8a-9862-01a8ab312422
0.28,108,1,28,28,16166.0,0.31,0,0,4,79,4.0,137,406,16,7,0,0,2,88,0,6,261,2,f9959e9b-4401-5b8a-9862-01a8ab312422
0.51,108,2,28,28,16166.0,0.31,1,0,4,79,4.0,137,406,16,7,3,0,2,88,0,6,261,2,f9959e9b-4401-5b8a-9862-01a8ab312422
0.45,108,2,28,28,16166.0,0.31,1,0,4,79,4.0,137,406,16,7,1,1,2,88,0,6,261,2,f9959e9b-4401-5b8a-9862-01a8ab312422
